TREATMENT,YEAR,TO_STREET,PROJECT_ID,COMMENTS,Shape__Length,OBJECTID,the_geom,CREATED_BY,MODIFIED_DATE,PW_CURRENT_YR_SERVICE_PLAN_ID,FROM_STREET,FULL_STREET_NAME,CREATED_DATE,MODIFIED_BY,PROJECT_DESCRIPTION
SLCT6,2022,North Rim Dr,97391,"Not all segments may have been mapped or labelled correctly, actual work scheduling is contingent to utility clearance, available funding, and other factors; for questions/comments contact Travis Christopher at travis.christopher@austintexas.gov",294.2900257,559,"MULTILINESTRING ((-97.770076285077 30.373321553888, -97.770472471694 30.373601754104, -97.770658825227 30.373930017587))",BSHARMA,,489,4901,TENISON CT,8/22/2021 19:00,,SLCT6 on TENISON CT from 4901 to North Rim Dr
CRCKSL,2022,2017,116010,"Not all segments may have been mapped or labelled correctly, actual work scheduling is contingent to utility clearance, available funding, and other factors; for questions/comments contact Travis Christopher at travis.christopher@austintexas.gov",397.6500456,685,"MULTILINESTRING ((-97.79449480317 30.220003957687, -97.79558931927 30.220544293949))",BSHARMA,,736,Manchaca Rd,OAKGLEN DR,8/22/2021 19:00,,CRCKSL on OAKGLEN DR from Manchaca Rd to 2017
SLCT6,2022,Clawson Rd,97334,"Not all segments may have been mapped or labelled correctly, actual work scheduling is contingent to utility clearance, available funding, and other factors; for questions/comments contact Travis Christopher at travis.christopher@austintexas.gov",379.1034025,370,"MULTILINESTRING ((-97.775090454839 30.239546605197, -97.776141334577 30.240050582028))",BSHARMA,,441,Kinney Ave,ROBERTS AVE,8/22/2021 19:00,,SLCT6 on ROBERTS AVE from Kinney Ave to Clawson Rd
CRCKSL,2022,Us Hwy 290 Svc Rd Wb  W,116009,"Not all segments may have been mapped or labelled correctly, actual work scheduling is contingent to utility clearance, available funding, and other factors; for questions/comments contact Travis Christopher at travis.christopher@austintexas.gov",572.494641,684,"MULTILINESTRING ((-97.847895002816 30.237976607094, -97.847683929606 30.236413186995))",BSHARMA,,735,Oak Blvd E,OAK BLVD,8/22/2021 19:00,,CRCKSL on OAK BLVD from Oak Blvd E to Us Hwy 290 Svc Rd Wb  W
SLCT6,2022,7811,97273,"Not all segments may have been mapped or labelled correctly, actual work scheduling is contingent to utility clearance, available funding, and other factors; for questions/comments contact Travis Christopher at travis.christopher@austintexas.gov",216.7597317,407,"MULTILINESTRING ((-97.799240912229 30.387354797687, -97.799916814034 30.387245910281))",BSHARMA,,389,Jester Blvd,NUTMEG CV,8/22/2021 19:00,,SLCT6 on NUTMEG CV from Jester Blvd to 7811
SLCT6,2022,3711,97393,"Not all segments may have been mapped or labelled correctly, actual work scheduling is contingent to utility clearance, available funding, and other factors; for questions/comments contact Travis Christopher at travis.christopher@austintexas.gov",198.9033999,449,"MULTILINESTRING ((-97.749164814728 30.367973339735, -97.749711793182 30.368245642196))",BSHARMA,,491,Forest Mesa Dr,TERRINA ST,8/22/2021 19:00,,SLCT6 on TERRINA ST from Forest Mesa Dr to 3711
Overlay,2022,Adirondack Trl,96855,"Not all segments may have been mapped or labelled correctly, actual work scheduling is contingent to utility clearance, available funding, and other factors; for questions/comments contact Travis Christopher at travis.christopher@austintexas.gov",959.2599266,116,"MULTILINESTRING ((-97.761338826548 30.379486205056, -97.761550589048 30.379515203824, -97.761762370026 30.379662467537, -97.761812030408 30.379792729362, -97.761793800327 30.380268173977, -97.761749097095 30.380487305617, -97.761537446127 30.380840607741, -97.761271524002 30.38105805439, -97.760630467133 30.381424747548))",BSHARMA,,33,8300,APPALACHIAN DR,8/22/2021 19:00,,Overlay on APPALACHIAN DR from 8300 to Adirondack Trl
SLCT6,2022,Greystone Dr,97290,"Not all segments may have been mapped or labelled correctly, actual work scheduling is contingent to utility clearance, available funding, and other factors; for questions/comments contact Travis Christopher at travis.christopher@austintexas.gov",2871.599541,421,"MULTILINESTRING ((-97.771529325112 30.368743761098, -97.771309382958 30.36908316066, -97.771151113789 30.369220266624, -97.771000853432 30.369324528303, -97.770912045642 30.369443769189, -97.770737252786 30.369844577308, -97.77054427385 30.370124006855, -97.770339939059 30.37032344933, -97.770262141071 30.370475913895, -97.770237516689 30.370626690622, -97.770183658501 30.370922651276, -97.770222028482 30.371209453518, -97.770365976869 30.371432357176, -97.770675373225 30.37160630972, -97.771138069861 30.371651307404, -97.771464113896 30.37161656464, -97.77170795079 30.371571928324, -97.772086480619 30.371441970239, -97.772356345961 30.371342845627, -97.772633218417 30.371188853544, -97.772959581547 30.370843324983, -97.773204455778 30.370490668534, -97.773394081355 30.370307430081, -97.773658580299 30.37008168011, -97.773920816506 30.369941144986, -97.774093713429 30.36979057582, -97.774276212879 30.369576940216, -97.774443604998 30.369065966385))",BSHARMA,,404,Crossdraw Dr,PARKVIEW CIR,8/22/2021 19:00,,SLCT6 on PARKVIEW CIR from Crossdraw Dr to Greystone Dr
CRCKSL,2022,Dove Dr,115857,"Not all segments may have been mapped or labelled correctly, actual work scheduling is contingent to utility clearance, available funding, and other factors; for questions/comments contact Travis Christopher at travis.christopher@austintexas.gov",980.1301875,647,"MULTILINESTRING ((-97.754204445294 30.192897570877, -97.754372146873 30.192782685265, -97.754732750424 30.192376162912, -97.75458201507 30.192214846143, -97.753713958287 30.191435520938, -97.753481756938 30.191802135347, -97.753270130428 30.192020646753))",BSHARMA,,583,Dove Dr,BENDING TRL,8/22/2021 19:00,,CRCKSL on BENDING TRL from Dove Dr to Dove Dr
SLCT6,2022,,97009,"Not all segments may have been mapped or labelled correctly, actual work scheduling is contingent to utility clearance, available funding, and other factors; for questions/comments contact Travis Christopher at travis.christopher@austintexas.gov",4357.800745,137,"MULTILINESTRING ((-97.781256415701 30.254235576015, -97.781405679006 30.254238549295, -97.781903991094 30.253689087268, -97.782148637102 30.253410511586, -97.782210209238 30.253324717663, -97.782403240697 30.252987604602, -97.782433693034 30.252918957981, -97.782652279571 30.252233200761, -97.78289176532 30.251460124248, -97.782973900222 30.251099487753, -97.783032212629 30.25075080842, -97.782941701566 30.250692157544, -97.782832134369 30.250732496134, -97.782782579311 30.251000270424, -97.782740880324 30.251199690742, -97.782688088388 30.25139569983, -97.782646430039 30.251558789262, -97.782450815696 30.252161696734, -97.782417764492 30.252286755599, -97.782265074517 30.252781715031, -97.782235623693 30.252862812987, -97.782207664664 30.252925816057, -97.78214605089 30.253035976949, -97.781987841606 30.253280519876, -97.781921699121 30.253371420774, -97.781855904447 30.25344915455, -97.78124284207 30.254137834371, -97.781256415701 30.254235576015), (-97.779522422702 30.257780755143, -97.780303895278 30.256876870889, -97.78035709868 30.256799794522, -97.780391685656 30.256729442998, -97.780585582027 30.256282226819, -97.780614400747 30.256197568668, -97.780637624895 30.25609324428, -97.78065049525 30.255992289007, -97.780677126293 30.255549385823, -97.780685957759 30.255348348515, -97.780707693098 30.255144542963, -97.780737363474 30.25497851986, -97.780768505685 30.254856283638, -97.780840439177 30.254689012321, -97.780881495578 30.254606385656, -97.78096450982 30.254483725171, -97.781115938323 30.254326893457, -97.781256415701 30.254235576015))",BSHARMA,,168,Ridgeview St,BARTON PKWY,8/22/2021 19:00,,SLCT6 on BARTON PKWY from Ridgeview St to
CRCKSL,2022,728,116053,"Not all segments may have been mapped or labelled correctly, actual work scheduling is contingent to utility clearance, available funding, and other factors; for questions/comments contact Travis Christopher at travis.christopher@austintexas.gov",671.4631294,753,"MULTILINESTRING ((-97.731561563726 30.292098129347, -97.729711498318 30.291186523921))",BSHARMA,,779,Harris Park Ave,SPARKS AVE,8/22/2021 19:00,,CRCKSL on SPARKS AVE from Harris Park Ave to 728
SLCT6,2022,Red River St,96963,"Not all segments may have been mapped or labelled correctly, actual work scheduling is contingent to utility clearance, available funding, and other factors; for questions/comments contact Travis Christopher at travis.christopher@austintexas.gov",1894.982426,72,"MULTILINESTRING ((-97.727617915724 30.302253598629, -97.726631412961 30.30178921991, -97.72634993984 30.301648727801, -97.72580555779 30.301384621491, -97.724209477815 30.300628797537, -97.722393414266 30.299686948556))",BSHARMA,,131,Duval St,E 41ST ST,8/22/2021 19:00,,SLCT6 on E 41ST ST from Duval St to Red River St
SLCT6,2022,3805,97086,"Not all segments may have been mapped or labelled correctly, actual work scheduling is contingent to utility clearance, available funding, and other factors; for questions/comments contact Travis Christopher at travis.christopher@austintexas.gov",166.8202626,174,"MULTILINESTRING ((-97.750370089338 30.371289789171, -97.750840246624 30.371500031672))",BSHARMA,,236,Greenslope Dr,CROWNCREST CV,8/22/2021 19:00,,SLCT6 on CROWNCREST CV from Greenslope Dr to 3805
SLCT6,2022,Parkview Cir,97291,"Not all segments may have been mapped or labelled correctly, actual work scheduling is contingent to utility clearance, available funding, and other factors; for questions/comments contact Travis Christopher at travis.christopher@austintexas.gov",123.8426421,804,"MULTILINESTRING ((-97.773398925074 30.369826217329, -97.773658580299 30.37008168011))",BSHARMA,,405,4801,PARKVIEW PL,8/22/2021 19:00,,SLCT6 on PARKVIEW PL from 4801 to Parkview Cir
SLCT6,2022,Lamar Blvd S,97159,"Not all segments may have been mapped or labelled correctly, actual work scheduling is contingent to utility clearance, available funding, and other factors; for questions/comments contact Travis Christopher at travis.christopher@austintexas.gov",2398.912578,255,"MULTILINESTRING ((-97.770493640819 30.253148570932, -97.770698124912 30.252844625173, -97.770988652327 30.252402133613, -97.771461346273 30.251660748932, -97.771811411904 30.251123185002, -97.772789523052 30.249599807888, -97.772825730195 30.249541344652, -97.77337861794 30.248648968641, -97.773782133107 30.248072942408, -97.774236570099 30.247409516357))",BSHARMA,,292,Nash Ave,GOODRICH AVE,8/22/2021 19:00,,SLCT6 on GOODRICH AVE from Nash Ave to Lamar Blvd S
SLCT6,2022,Long Point Dr,97409,"Not all segments may have been mapped or labelled correctly, actual work scheduling is contingent to utility clearance, available funding, and other factors; for questions/comments contact Travis Christopher at travis.christopher@austintexas.gov",1081.427419,462,"MULTILINESTRING ((-97.768592189193 30.368327520572, -97.76889871024 30.368638937249, -97.768935124956 30.368939452564, -97.768854413561 30.369171617962, -97.768492011564 30.369530167315, -97.768359198514 30.369783293335, -97.76836738449 30.370041989217, -97.768490159056 30.370225966882, -97.768580281853 30.370445045994, -97.768537926357 30.370606469277, -97.768454015856 30.370720305791, -97.768225910653 30.370889015927))",BSHARMA,,505,Long Point Dr,VALLEY DALE DR,8/22/2021 19:00,,SLCT6 on VALLEY DALE DR from Long Point Dr to Long Point Dr
SLCT6,2022,Old Burleson Rd,97105,"Not all segments may have been mapped or labelled correctly, actual work scheduling is contingent to utility clearance, available funding, and other factors; for questions/comments contact Travis Christopher at travis.christopher@austintexas.gov",1299.250265,185,"MULTILINESTRING ((-97.709352420029 30.206153234677, -97.712163794096 30.203545728445))",BSHARMA,,248,3501,DIME CIR,8/22/2021 19:00,,SLCT6 on DIME CIR from 3501 to Old Burleson Rd
SLCT6,2022,8135,97404,"Not all segments may have been mapped or labelled correctly, actual work scheduling is contingent to utility clearance, available funding, and other factors; for questions/comments contact Travis Christopher at travis.christopher@austintexas.gov",659.8737968,797,"MULTILINESTRING ((-97.800414537159 30.392594884365, -97.800414481088 30.392317138112, -97.800416031147 30.392258132959, -97.800401653404 30.392174880353, -97.800382969063 30.392115473998, -97.800356716714 30.392063897609, -97.800316166307 30.391996083592, -97.800253456659 30.391931022432, -97.800195805575 30.391883613357, -97.800130628493 30.391842436413, -97.800068920189 30.391809307312, -97.799992245529 30.391785455512, -97.799939276018 30.391770049424, -97.799878862262 30.391757686693, -97.799798090362 30.391749710919, -97.799718862356 30.391752931909, -97.799628262288 30.391768694939, -97.799554178439 30.391786377562, -97.799485444264 30.391810549995, -97.799420011169 30.391849146015, -97.799328195546 30.391911155641, -97.799142036953 30.392060630627))",BSHARMA,,500,Bottlebrush Dr,VAILVIEW CV,8/22/2021 19:00,,SLCT6 on VAILVIEW CV from Bottlebrush Dr to 8135
SLCT6,2022,Anaqua Dr,97206,"Not all segments may have been mapped or labelled correctly, actual work scheduling is contingent to utility clearance, available funding, and other factors; for questions/comments contact Travis Christopher at travis.christopher@austintexas.gov",145.6433182,324,"MULTILINESTRING ((-97.797927782904 30.382373489039, -97.79756761679 30.382624213379))",BSHARMA,,333,7500,KOLACHE CV,8/22/2021 19:00,,SLCT6 on KOLACHE CV from 7500 to Anaqua Dr
SLCT6,2022,7407,97131,"Not all segments may have been mapped or labelled correctly, actual work scheduling is contingent to utility clearance, available funding, and other factors; for questions/comments contact Travis Christopher at travis.christopher@austintexas.gov",119.3199393,346,"MULTILINESTRING ((-97.799087337464 30.379564276988, -97.799372809017 30.379779632088))",BSHARMA,,268,Anaqua Dr,FILBERT CV,8/22/2021 19:00,,SLCT6 on FILBERT CV from Anaqua Dr to 7407
SLCT6,2022,Alberta Dr,96968,"Not all segments may have been mapped or labelled correctly, actual work scheduling is contingent to utility clearance, available funding, and other factors; for questions/comments contact Travis Christopher at travis.christopher@austintexas.gov",2194.988098,77,"MULTILINESTRING ((-97.89631042911 30.184472020591, -97.896576913624 30.184818617504, -97.896823615147 30.185017039572, -97.897041642883 30.185158700644, -97.897320622658 30.185268518265, -97.897589319413 30.18537813963, -97.898368901137 30.185855833975, -97.899062417789 30.186255457984, -97.899084290394 30.186266874809, -97.899096739562 30.186275362221, -97.899110049042 30.186281115752, -97.899123358524 30.186286869283, -97.899136668007 30.186292622812, -97.899149977492 30.186298376339, -97.899163286978 30.186304129865, -97.899177387524 30.18630989843, -97.899190697014 30.186315651954, -97.899204866813 30.186318671596, -97.899218967364 30.186324440156, -97.899233137165 30.186327459795, -97.899248098025 30.186330494472, -97.899262267828 30.186333514108, -97.899276368384 30.186339282662, -97.899291329248 30.186342317334, -97.8993055683 30.186342588044, -97.899320529165 30.186345622713, -97.899335490031 30.18634865738, -97.899350520143 30.186348943125, -97.899365481011 30.186351977788, -97.899379720065 30.186352248491, -97.899394750178 30.186352534231, -97.899409780291 30.186352819969, -97.899424810404 30.186353105705, -97.899439840517 30.18635339144, -97.89945487063 30.186353677172, -97.899469900743 30.186353962903, -97.899485000098 30.186351499713, -97.899499239152 30.186351770402, -97.899514338506 30.186349307207, -97.899529437859 30.186346844011, -97.899544467971 30.186347129733, -97.899558776265 30.186344651496, -97.899573084557 30.186342173257, -97.899588253146 30.186336961133, -97.899602561437 30.186334482891, -97.899616869727 30.186332004647, -97.899631247253 30.186326777481, -97.899645555541 30.186324299234, -97.899659933065 30.186319072064, -97.899673519529 30.186313829857, -97.899687105991 30.186308587647, -97.899701483511 30.186303360473, -97.89971506997 30.186298118261, -97.89972786537 30.18629286101, -97.899741451827 30.186287618795, -97.899754316457 30.186279612622, -97.899767902911 30.186274370404, -97.89977997648 30.186266349191, -97.899792771872 30.186261091934, -97.899804845437 30.186253070719, -97.899821734579 30.1862423908, -97.899838692948 30.186228961959, -97.899855651312 30.186215533115, -97.899871027557 30.186202074197, -97.899886473028 30.186185866357, -97.899901918493 30.186169658516, -97.89991571261 30.186156169521, -97.899928784895 30.186139916569, -97.899941857175 30.186123663616, -97.899954138395 30.186107395626, -97.899965628554 30.186091112599, -97.899976327652 30.186074814536, -97.899986304918 30.186055752517, -97.899994630841 30.186039409347, -97.900085355528 30.185862368327, -97.900174428555 30.185688046098, -97.900264361532 30.185510989924, -97.900352642861 30.185336652543, -97.900453412525 30.185137800307, -97.900455063836 30.185135081452, -97.900469065366 30.185113345638, -97.900475670604 30.185102470214, -97.900490393961 30.18508349835, -97.900505977572 30.185061792596, -97.900522283013 30.185042850793, -97.900530401125 30.185034754351, -97.900547497605 30.185015827576, -97.900565385125 30.184996915831, -97.900584063686 30.184978019115, -97.900603533287 30.184959137428, -97.900623724719 30.184943019689, -97.900633424909 30.184934953303, -97.900643916145 30.184926901947, -97.900664898611 30.184910799234, -97.90068660291 30.184897460468, -97.900705934063 30.184884076606, -97.900720449726 30.184873351477, -97.900742945056 30.184860027733, -97.900766231426 30.184846719015, -97.90077823553 30.184841446629, -97.900802312938 30.184828152935, -97.900815108084 30.184822895576, -97.900827112182 30.184817623187, -97.900851911421 30.184807093433, -97.900877501701 30.184796578705, -97.900890296839 30.184791321339, -97.900915817911 30.184783555524, -97.900929404091 30.184778313183, -97.900942130025 30.184775804733, -97.90096923318 30.184768068966, -97.900995545285 30.184760318163, -97.901045657954 30.184750269298, -97.901501655356 30.184681925178))",BSHARMA,,136,Escarpment Blvd,ADEN LN,8/22/2021 19:00,,SLCT6 on ADEN LN from Escarpment Blvd to Alberta Dr
SLCT6,2022,7613,97127,"Not all segments may have been mapped or labelled correctly, actual work scheduling is contingent to utility clearance, available funding, and other factors; for questions/comments contact Travis Christopher at travis.christopher@austintexas.gov",296.09523,342,"MULTILINESTRING ((-97.799675080143 30.385084803297, -97.8004439785 30.385552205454))",BSHARMA,,264,Basil Dr,FAWNHOLLOW CV,8/22/2021 19:00,,SLCT6 on FAWNHOLLOW CV from Basil Dr to 7613
SLCT6,2022,Lakewood Dr,97111,"Not all segments may have been mapped or labelled correctly, actual work scheduling is contingent to utility clearance, available funding, and other factors; for questions/comments contact Travis Christopher at travis.christopher@austintexas.gov",1322.334703,190,"MULTILINESTRING ((-97.784489396793 30.363641554007, -97.784889784034 30.363492741182, -97.786117532189 30.363000067736, -97.786464974557 30.362869397632, -97.786825986101 30.362805110542, -97.7873060274 30.362762384369, -97.787761395148 30.362512891911, -97.788249631337 30.362159537567))",BSHARMA,,253,5401,DRIFTWOOD DR,8/22/2021 19:00,,SLCT6 on DRIFTWOOD DR from 5401 to Lakewood Dr
Overlay,2022,Greenridge Ter,116125,"Not all segments may have been mapped or labelled correctly, actual work scheduling is contingent to utility clearance, available funding, and other factors; for questions/comments contact Travis Christopher at travis.christopher@austintexas.gov",980.553643,825,"MULTILINESTRING ((-97.767622720467 30.212757653374, -97.767123402514 30.212659638299, -97.765610752778 30.21208475425, -97.764741944413 30.2117702964))",BSHARMA,,827,Suburban Dr,CHIPPENDALE AVE,8/22/2021 19:00,,Overlay on CHIPPENDALE AVE from Suburban Dr to Greenridge Ter
SLCT6,2022,6418,97059,"Not all segments may have been mapped or labelled correctly, actual work scheduling is contingent to utility clearance, available funding, and other factors; for questions/comments contact Travis Christopher at travis.christopher@austintexas.gov",424.2070407,207,"MULTILINESTRING ((-97.783402395736 30.360429561537, -97.783037102616 30.361200642611, -97.783019590426 30.361533084702))",BSHARMA,,212,Backtrail Dr,CERRO CV,8/22/2021 19:00,,SLCT6 on CERRO CV from Backtrail Dr to 6418
Overlay,2022,Nuckols Crossing Rd,96857,"Not all segments may have been mapped or labelled correctly, actual work scheduling is contingent to utility clearance, available funding, and other factors; for questions/comments contact Travis Christopher at travis.christopher@austintexas.gov",1085.850613,118,"MULTILINESTRING ((-97.741112787621 30.19400303525, -97.741174072794 30.193209239074, -97.741229349249 30.192388010554, -97.740426813214 30.191972962758, -97.739870648453 30.191697666681))",BSHARMA,,35,Stassney Ln E,ATASCOSA DR,8/22/2021 19:00,,Overlay on ATASCOSA DR from Stassney Ln E to Nuckols Crossing Rd
CRCKSL,2022,6509,115966,"Not all segments may have been mapped or labelled correctly, actual work scheduling is contingent to utility clearance, available funding, and other factors; for questions/comments contact Travis Christopher at travis.christopher@austintexas.gov",319.8199544,755,"MULTILINESTRING ((-97.75220390361 30.439581622309, -97.75252268186 30.439448974075, -97.752644576261 30.439391824621, -97.752714386096 30.439353512997, -97.752795781628 30.439310456111, -97.752842522092 30.439276631271, -97.753042094811 30.439101842604))",BSHARMA,,692,Avery Island Ave,JENNINGS DR,8/22/2021 19:00,,CRCKSL on JENNINGS DR from Avery Island Ave to 6509
SLCT6,2022,7019,97313,"Not all segments may have been mapped or labelled correctly, actual work scheduling is contingent to utility clearance, available funding, and other factors; for questions/comments contact Travis Christopher at travis.christopher@austintexas.gov",430.4271968,440,"MULTILINESTRING ((-97.795459566237 30.376486172062, -97.795742421007 30.376467618277, -97.79601942401 30.376425826464, -97.796294222627 30.3762794213, -97.796682199142 30.376037892129))",BSHARMA,,424,Beauford Dr,QUILL LEAF CV,8/22/2021 19:00,,SLCT6 on QUILL LEAF CV from Beauford Dr to 7019
Overlay,2022,Peacedale Ln,96842,"Not all segments may have been mapped or labelled correctly, actual work scheduling is contingent to utility clearance, available funding, and other factors; for questions/comments contact Travis Christopher at travis.christopher@austintexas.gov",1512.864667,21,"MULTILINESTRING ((-97.685915932474 30.300157111845, -97.686198060089 30.300415973905, -97.686508401299 30.300917451437, -97.68659424621 30.301716834529, -97.686597802429 30.302511768025, -97.686604225085 30.303317762269, -97.68666073206 30.304146793764))",BSHARMA,,21,Old Manor Rd,WESTMINSTER DR,8/22/2021 19:00,,Overlay on WESTMINSTER DR from Old Manor Rd to Peacedale Ln
SLCT6,2022,Manor Rd,97287,"Not all segments may have been mapped or labelled correctly, actual work scheduling is contingent to utility clearance, available funding, and other factors; for questions/comments contact Travis Christopher at travis.christopher@austintexas.gov",1247.269091,418,"MULTILINESTRING ((-97.700866807692 30.284215858024, -97.701338889878 30.285818018346), (-97.700513930978 30.285950473081, -97.70054551276 30.286075328602, -97.700516874358 30.286193446227, -97.700527093016 30.28628472091, -97.70110887559 30.287628538231))",BSHARMA,,401,Pershing Dr,PALO PINTO DR,8/22/2021 19:00,,SLCT6 on PALO PINTO DR from Pershing Dr to Manor Rd
CRCKSL,2022,Doe Valley Ln,115905,"Not all segments may have been mapped or labelled correctly, actual work scheduling is contingent to utility clearance, available funding, and other factors; for questions/comments contact Travis Christopher at travis.christopher@austintexas.gov",189.1376813,583,"MULTILINESTRING ((-97.762111798284 30.391927770751, -97.761871457271 30.392404264717))",BSHARMA,,631,9100,COUNTRY CANYON CV,8/22/2021 19:00,,CRCKSL on COUNTRY CANYON CV from 9100 to Doe Valley Ln
SLCT6,2022,Us Hwy 290 Svc Rd Wb  W,97276,"Not all segments may have been mapped or labelled correctly, actual work scheduling is contingent to utility clearance, available funding, and other factors; for questions/comments contact Travis Christopher at travis.christopher@austintexas.gov",2861.116523,410,"MULTILINESTRING ((-97.850630403952 30.24264736652, -97.850804875377 30.242298712465, -97.852952956199 30.239106000458, -97.853772086765 30.23829127638, -97.854009342416 30.237778817362, -97.853985203657 30.23562353859))",BSHARMA,,392,5701,OAKCLAIRE DR,8/22/2021 19:00,,SLCT6 on OAKCLAIRE DR from 5701 to Us Hwy 290 Svc Rd Wb  W
