Signal ID,Location Name,Signal Type,Signal Status,ATD Location ID,COA Intersection ID,Control,Council District(s),Primary St,Cross St,Cross St Segment ID,Landmark,Primary Signal,Secondary Signal(s),Jurisdiction Label,Primary St Segment ID,Signal Eng. Area,Traffic Engineer Area,Turn On Date,Cross St Block,Primary St Block,Signal PM Max Fiscal Year,Pedestrian Button Type,Leading Pedestrian Interval,Date Leading Pedestrian Interval Installed,North/South Pedestrian Interval,East/West Pedestrian Interval,Leading Pedestrian Interval Comment,Bicycle Signal,Bus Stops,Source DB ID,IP Communication status,Comm Status Datetime,Owner,Detection status,Detection Status Date,Construction Note,Construction Note Date,Modified Date,Location,Corridor Retiming Zone,Backplate Installed,Backplate Type,Intersection Backplate Status,Dark Signal
22, 24TH ST / NUECES ST,TRAFFIC,TURNED_ON,LOC16-000105,5156836,SECONDARY,9, 24TH ST, NUECES ST,2017377,,32:  24TH ST / NUECES ST,,AUSTIN FULL PURPOSE,2017380,CENTRAL,,08/31/1958,"2,400",511,2022,,False,,,,,False,,5817c07ae052e0422be6c420,,,COA,NO DETECTION,06/14/2017 05:00:00 AM +0000,,,05/28/2024 03:53:00 PM +0000,POINT (-97.743141 30.287828),Campus,False,,,NO
89, BURNET RD / 49TH ST,TRAFFIC,TURNED_ON,LOC16-000440,5157310,PRIMARY,7, BURNET RD, 49TH ST,2015303,,,,AUSTIN FULL PURPOSE,2015302,NORTHWEST,,03/27/1952,"2,101","4,900",2021,,True,11/30/2020 12:00:00 AM,,"4p, 8p",,False,"686, 815",5817c07de052e0422be6c4a6,,,COA,OK,03/04/2024 06:00:00 AM +0000,,,06/24/2024 06:58:00 PM +0000,POINT (-97.739227 30.319857),Burnet,False,,,NO
59, 38TH ST / DUVAL ST,TRAFFIC,TURNED_ON,LOC16-000290,5158780,PRIMARY,9, 38TH ST, DUVAL ST,2016716,,,,AUSTIN FULL PURPOSE,2016717,NORTHWEST,,08/15/1956,"3,800",402,2021,,True,09/08/2021 12:00:00 AM,"4p, 8p",,,False,"1260, 4152, 6279, 6280",5817c07be052e0422be6c46a,,,COA,OK,01/22/2018 06:00:00 AM +0000,,,07/23/2024 03:15:00 PM +0000,POINT (-97.729775 30.298708),Triangle,False,,,NO
204, SLAUGHTER LN / 1ST ST,TRAFFIC,TURNED_ON,LOC16-001010,5150579,PRIMARY,"5, 2", SLAUGHTER LN, 1ST ST,2027828,,,,AUSTIN FULL PURPOSE,3259995,SOUTH,,05/26/1994,"8,901",600,2020,APS,False,,,,,False,"4909, 5999, 6407",5817c082e052e0422be6c58a,,,COA,BROKEN,06/19/2024 05:00:00 AM +0000,,,07/18/2024 06:37:00 PM +0000,POINT (-97.799553 30.172455),Slaughter East,False,,,NO
31, 24TH ST / RIO GRANDE ST,TRAFFIC,TURNED_ON,LOC16-000150,5156607,PRIMARY,9, 24TH ST, RIO GRANDE ST,2017369,,,,AUSTIN FULL PURPOSE,2017370,CENTRAL,,12/24/1954,"2,400",700,2021,APS,True,,4p,,5 second early walk time,True,,5817c07ae052e0422be6c432,,,COA,OK,06/14/2017 05:00:00 AM +0000,,,07/19/2024 01:04:00 PM +0000,POINT (-97.744682 30.287935),Campus,False,,,NO
206, SOUTHWEST PKWY / FOSTER RANCH RD,TRAFFIC,TURNED_ON,LOC16-001020,5146140,PRIMARY,8, SOUTHWEST PKWY, FOSTER RANCH RD,2041357,,,,AUSTIN FULL PURPOSE,2035580,SOUTH,,09/25/2003,"4,501","6,000",2019,,False,,,,,False,,5817c082e052e0422be6c58e,,,COA,OK,01/22/2024 06:00:00 AM +0000,,,06/28/2024 12:08:00 PM +0000,POINT (-97.849739 30.248056),Southwest Parkway,False,,,NO
63, RED RIVER ST / 41ST ST,TRAFFIC,TURNED_ON,LOC16-000310,5159617,PRIMARY,9, RED RIVER ST, 41ST ST,2016762,,,,AUSTIN FULL PURPOSE,2016652,NORTHWEST,,11/20/1969,900,"4,100",2021,APS,False,,,,,True,1785,5817c07be052e0422be6c472,,,COA,OK,09/20/2023 05:00:00 AM +0000,,,03/25/2024 09:10:00 PM +0000,POINT (-97.722389 30.299683),Triangle,False,,,NO
207, MENCHACA RD / MONARCH DR,TRAFFIC,TURNED_ON,LOC16-006565,5148631,PRIMARY,5, MENCHACA RD, MONARCH DR,2047217,,,,AUSTIN FULL PURPOSE,2047196,SOUTH,,07/19/2017,"2,001","9,429",2019,APS,True,,"4p, 8p",,5 second early walk,False,"3753, 3754",581d54e918ee7837311989a8,,,COA,OK,08/05/2021 05:00:00 AM +0000,,,07/17/2024 02:18:00 PM +0000,POINT (-97.822587 30.176001),Menchaca,False,,,NO
75,US 290 HWY / HUDSON LOOP,TRAFFIC,TURNED_ON,LOC16-000370,5143677,PRIMARY,8,US 290 HWY, HUDSON LOOP,2041562,,,,AUSTIN 2 MILE ETJ,2026805,SOUTH,,06/08/2018,"7,701","7,914",2021,APS,False,,,,,False,,5817c07ce052e0422be6c48a,,,COA,OK,02/22/2019 06:00:00 AM +0000,,,06/05/2024 05:39:00 PM +0000,POINT (-97.891597 30.229516),Oak Hill,False,,,NO
8, LAMAR BLVD / JUSTIN LN,TRAFFIC,TURNED_ON,LOC16-000035,5159824,SECONDARY,"4, 7", LAMAR BLVD, JUSTIN LN,2011711,,9:  AIRPORT BLVD / LAMAR BLVD,,AUSTIN FULL PURPOSE,2011748,NORTHWEST,,07/18/1957,801,"6,800",2022,APS,False,,,,,False,"474, 5860",5b5c434b97428f168b0e8656,,,COA,BROKEN,06/14/2017 05:00:00 AM +0000,,,06/28/2024 11:57:00 AM +0000,POINT (-97.719559 30.336702),North Lamar 1,False,,,NO
62, DEAN KEETON ST / UNIVERSITY AVE,TRAFFIC,TURNED_ON,LOC16-000305,5157439,PRIMARY,9, DEAN KEETON ST, UNIVERSITY AVE,2017252,,,,AUSTIN FULL PURPOSE,2017253,CENTRAL,,06/22/1978,"2,600",200,2021,APS,False,,,,,False,"3512, 5024, 5528",5817c07be052e0422be6c470,,,COA,OK,03/09/2020 05:00:00 AM +0000,,,11/15/2023 12:52:00 AM +0000,POINT (-97.739075 30.289627),Campus,False,,,NO
82, BURNET RD / WHITE HORSE TRL,TRAFFIC,TURNED_ON,LOC16-000405,5157237,PRIMARY,7, BURNET RD, WHITE HORSE TRL,2040272,,,,AUSTIN FULL PURPOSE,2011653,NORTHWEST,,03/24/1959,"2,101","6,314",2022,,True,06/04/2024 12:00:00 AM,,4p,,False,5733,5817c07ce052e0422be6c498,,,COA,OK,12/02/2015 06:00:00 AM +0000,,,06/04/2024 08:32:00 PM +0000,POINT (-97.73925 30.33848),Burnet,False,,,NO
30, 24TH ST / SAN GABRIEL ST,TRAFFIC,TURNED_ON,LOC16-000145,5156111,PRIMARY,9, 24TH ST, SAN GABRIEL ST,2017357,,,,AUSTIN FULL PURPOSE,2017358,CENTRAL,,12/20/1965,"2,400","1,000",2021,APS,True,,"4p, 8p",,5 second early walk time,False,,5817c07ae052e0422be6c430,,,COA,OK,04/20/2021 05:00:00 AM +0000,,,07/19/2024 01:03:00 PM +0000,POINT (-97.747833 30.288162),Campus,False,,,NO
40, GUADALUPE ST / 24TH ST,TRAFFIC,TURNED_ON,LOC16-000195,5157100,PRIMARY,9, GUADALUPE ST, 24TH ST,2017389,,,,AUSTIN FULL PURPOSE,2017388,CENTRAL,,12/24/1954,401,"2,400",2021,APS,True,07/26/2019 12:00:00 AM,,8p,,False,,5817c07ae052e0422be6c444,,,COA,NO DETECTION,06/14/2017 05:00:00 AM +0000,,,02/21/2024 04:58:00 PM +0000,POINT (-97.741547 30.28772),Campus,False,,,NO
72, 38TH HALF ST / 35 SVRD,TRAFFIC,TURNED_ON,LOC16-000355,5159970,SECONDARY,9, 38TH HALF ST,IH 35 SVRD,2017051,,64:  38TH HALF ST / 35 SVRD,,AUSTIN FULL PURPOSE,2016967,NORTHWEST,,05/05/1956,"3,500","1,100",2022,,False,,,,,False,2012,5817c07ce052e0422be6c484,,,TxDOT,OK,06/14/2020 05:00:00 AM +0000,,,06/25/2024 06:47:00 PM +0000,POINT (-97.719383 30.294758),IH 35,False,,,NO
23, GUADALUPE ST / MARTIN LUTHER KING JR BLVD,TRAFFIC,TURNED_ON,LOC16-000110,5157068,PRIMARY,9, GUADALUPE ST, MARTIN LUTHER KING JR BLVD,2017777,,,,AUSTIN FULL PURPOSE,2017776,CENTRAL,,12/24/1954,401,"1,900",2021,APS,False,,,,,False,,5817c07ae052e0422be6c422,,,COA,OK,11/02/2023 05:00:00 AM +0000,,,06/12/2024 11:37:00 AM +0000,POINT (-97.741928 30.281733),Campus,False,,,NO
35, MARTIN LUTHER KING JR BLVD / 35 SVRD,TRAFFIC,TURNED_ON,LOC16-000170,5158756,PRIMARY,"1, 9", MARTIN LUTHER KING JR BLVD,IH 35 SVRD,2017990,,,36:  MARTIN LUTHER KING JR BLVD / 35 SVRD,AUSTIN FULL PURPOSE,2017991,CENTRAL,,11/08/1951,"1,900",600,2022,APS,False,,,,,False,5624,5817c07ae052e0422be6c43a,,,TxDOT,BROKEN,06/24/2022 05:00:00 AM +0000,,,07/02/2024 02:24:00 PM +0000,POINT (-97.730484 30.278559),Campus,False,,,NO
67, RED RIVER ST / 32ND ST,TRAFFIC,TURNED_ON,LOC16-000330,5159140,PRIMARY,9, RED RIVER ST, 32ND ST,2017255,,,,AUSTIN FULL PURPOSE,2017191,CENTRAL,,05/01/1956,902,"3,100",2022,,True,04/23/2020 12:00:00 AM,,"4p, 8p",,False,"1706, 2493",5817c07ce052e0422be6c47a,,,COA,OK,04/14/2022 05:00:00 AM +0000,,,07/23/2024 03:08:00 PM +0000,POINT (-97.72715 30.291052),Campus,False,,,NO
91, BURNET RD / NORTHCROSS DR,TRAFFIC,TURNED_ON,LOC16-000450,5158100,PRIMARY,7, BURNET RD, NORTHCROSS DR,3300737,,,,AUSTIN FULL PURPOSE,2011183,NORTHWEST,,05/21/1973,"7,601","7,600",2021,,True,06/04/2024 12:00:00 AM,,"4p, 8p",,False,,5817c07de052e0422be6c4aa,,,COA,BROKEN,07/17/2024 05:00:00 AM +0000,,,07/17/2024 06:59:00 PM +0000,POINT (-97.733246 30.352217),Burnet,False,,,NO
11, LAMAR BLVD / ST JOHNS AVE,TRAFFIC,TURNED_ON,LOC16-000050,5160009,PRIMARY,"4, 7", LAMAR BLVD, ST JOHNS AVE,2011643,,,,AUSTIN FULL PURPOSE,2011600,NORTHWEST,,11/15/1972,613,"7,200",2021,,True,,4p,,7 second early walk,False,"2878, 5605, 620, 6363",5817c079e052e0422be6c40a,,,COA,OK,05/05/2022 05:00:00 AM +0000,,,06/28/2024 05:18:00 PM +0000,POINT (-97.717842 30.339407),North Lamar 1,False,,,NO
55, DEAN KEETON ST / SPEEDWAY ,TRAFFIC,TURNED_ON,LOC16-000270,5157794,PRIMARY,9, DEAN KEETON ST, SPEEDWAY ,2017406,,,,AUSTIN FULL PURPOSE,2017261,CENTRAL,,10/19/1964,"2,400",100,2021,APS,False,,,,,False,"2079, 3955",5817c07be052e0422be6c462,,,COA,OK,11/15/2021 06:00:00 AM +0000,,,11/15/2023 12:53:00 AM +0000,POINT (-97.736809 30.289457),Campus,False,,,NO
77, BURNET RD / STECK AVE,TRAFFIC,TURNED_ON,LOC16-000380,5158619,SECONDARY,"4, 7", BURNET RD, STECK AVE,2010804,,92:  BURNET RD / OHLEN RD,,AUSTIN FULL PURPOSE,2010803,NORTHWEST,,09/26/1969,"2,501","8,224",2022,,False,,,,,False,,5817c07ce052e0422be6c48e,,,COA,UNKNOWN,03/07/2022 06:00:00 AM +0000,,,06/26/2024 11:27:00 AM +0000,POINT (-97.72934 30.361847),Burnet,False,,,NO
15, GUADALUPE ST / NORTH LOOP BLVD,TRAFFIC,TURNED_ON,LOC16-000070,5159070,PRIMARY,9, GUADALUPE ST, NORTH LOOP BLVD,2015331,,,,AUSTIN FULL PURPOSE,2015283,NORTHWEST,,04/06/1978,301,"5,300",2022,APS,False,,,,,False,,5817c079e052e0422be6c412,,,COA,OK,01/07/2022 06:00:00 AM +0000,,,03/14/2024 07:04:00 PM +0000,POINT (-97.726959 30.319952),North Lamar 1,False,,,NO
74, BURNET RD / ROCKWOOD LN,TRAFFIC,TURNED_ON,LOC16-000365,5158827,PRIMARY,"4, 7", BURNET RD, ROCKWOOD LN,2010560,,,,AUSTIN FULL PURPOSE,2010559,NORTHWEST,,04/05/1990,"8,608","8,612",2021,,False,,,,,False,4571,5817c07ce052e0422be6c488,,,COA,OK,12/03/2021 06:00:00 AM +0000,,,01/24/2024 04:22:00 PM +0000,POINT (-97.727585 30.368286),Burnet,False,,,NO
4, LAMAR BLVD / NORTH LOOP BLVD,TRAFFIC,TURNED_ON,LOC16-000015,5158745,PRIMARY,"7, 9", LAMAR BLVD, NORTH LOOP BLVD,2019848,,,,AUSTIN FULL PURPOSE,2019847,NORTHWEST,,08/02/1951,801,"5,200",2023,APS,True,,,"4p, 8p",,False,"612, 6360",58164b9af9195edb2a5e3a0b,,,COA,OK,10/18/2023 05:00:00 AM +0000,,,06/28/2024 05:50:00 PM +0000,POINT (-97.729393 30.321089),North Lamar 1,False,,,NO
34, GUADALUPE ST / 30TH ST,TRAFFIC,TURNED_ON,LOC16-000165,5157001,SECONDARY,9, GUADALUPE ST, 30TH ST,2016847,,"46:  GUADALUPE ST / 30TH ST, 345:  7TH ST / 35 SVRD",,AUSTIN FULL PURPOSE,2016846,CENTRAL,,12/24/1954,601,"3,000",2022,,True,,8p,,4 second early walk,False,,5b5c434c97428f168b0e865d,,,COA,OK,04/22/2022 05:00:00 AM +0000,,,05/28/2024 03:53:00 PM +0000,POINT (-97.741966 30.296696),Campus,False,,,NO
36, MARTIN LUTHER KING JR BLVD / 35 SVRD,TRAFFIC,TURNED_ON,LOC16-000175,5158954,SECONDARY,1, MARTIN LUTHER KING JR BLVD,IH 35 SVRD,2017995,,35:  MARTIN LUTHER KING JR BLVD / 35 SVRD,,AUSTIN FULL PURPOSE,2017994,CENTRAL,,10/27/1976,"1,900",900,2022,APS,False,,,,,False,,5817c07ae052e0422be6c43c,,,TxDOT,OK,11/30/2020 06:00:00 AM +0000,,,10/16/2023 01:11:00 PM +0000,POINT (-97.72908 30.278509),Campus,False,,,NO
47, GUADALUPE ST / 34TH ST,TRAFFIC,TURNED_ON,LOC16-000230,5157324,PRIMARY,9, GUADALUPE ST, 34TH ST,2016632,,,,AUSTIN FULL PURPOSE,2016631,NORTHWEST,,12/24/1954,601,"3,400",2021,Push-Button,True,12/04/2019 12:00:00 AM,,"4p, 8p",,False,"490, 604",5b5c434c97428f168b0e8661,,,COA,OK,03/07/2022 06:00:00 AM +0000,,,10/16/2023 01:11:00 PM +0000,POINT (-97.739647 30.300341),Triangle,False,,,NO
66, DEAN KEETON ST / WHITIS AVE,TRAFFIC,TURNED_ON,LOC16-000325,5157276,PRIMARY,9, DEAN KEETON ST, WHITIS AVE,2017248,,,,AUSTIN FULL PURPOSE,2017249,CENTRAL,,04/21/1972,"2,600",300,2021,,False,,,,,False,"3512, 5528",5817c07ce052e0422be6c478,,,COA,NO DETECTION,06/14/2017 05:00:00 AM +0000,,,06/18/2024 02:21:00 AM +0000,POINT (-97.74025 30.289755),Campus,False,,,NO
19, METRIC BLVD / SCOFIELD LN,TRAFFIC,TURNED_ON,LOC16-000090,5162936,PRIMARY,7, METRIC BLVD, SCOFIELD LN,2006204,,,,AUSTIN FULL PURPOSE,3270535,NORTHEAST,,06/24/2004,"1,701","12,554",2021,APS,True,08/31/2023 12:00:00 AM,,2p,,False,"4796, 4824",5817c079e052e0422be6c41a,,,COA,OK,05/10/2024 05:00:00 AM +0000,,,06/25/2024 04:48:00 PM +0000,POINT (-97.68837 30.415146),Parmer Central,False,,,NO
24, LAVACA ST / MARTIN LUTHER KING JR BLVD,TRAFFIC,TURNED_ON,LOC16-000115,5157273,PRIMARY,9, LAVACA ST, MARTIN LUTHER KING JR BLVD,2017810,,,,AUSTIN FULL PURPOSE,2017875,CENTRAL,,12/24/1954,301,"1,800",2021,,True,08/22/2019 12:00:00 AM,4p,,,False,,5817c07ae052e0422be6c424,,,COA,OK,12/10/2023 06:00:00 AM +0000,,,05/13/2024 04:56:00 PM +0000,POINT (-97.740509 30.281328),Campus,False,,,NO
61, 45TH ST / SPEEDWAY ,TRAFFIC,TURNED_ON,LOC16-000300,5158939,PRIMARY,9, 45TH ST, SPEEDWAY ,2016138,,,,AUSTIN FULL PURPOSE,2016057,NORTHWEST,,08/14/1976,"4,400",100,2021,APS,True,,"4p, 8p",,5 second early walk,False,"1054, 4113, 980",5817c07be052e0422be6c46e,,,COA,OK,08/09/2023 05:00:00 AM +0000,,,06/28/2024 05:45:00 PM +0000,POINT (-97.728394 30.308632),Triangle,False,,,NO
29, DENSON DR / GUADALUPE ST,TRAFFIC,TURNED_ON,LOC16-000140,5159753,PRIMARY,4, DENSON DR, GUADALUPE ST,2012063,,,,AUSTIN FULL PURPOSE,2012064,NORTHWEST,,12/29/1984,"6,200",600,2021,APS,False,,,,,True,,5817c07ae052e0422be6c42e,,,COA,OK,03/08/2024 06:00:00 AM +0000,,,06/28/2024 11:58:00 AM +0000,POINT (-97.720429 30.328896),North Lamar 1,False,,,NO
14, AIRPORT BLVD / GUADALUPE ST,TRAFFIC,TURNED_ON,LOC16-000065,5160128,PRIMARY,4, AIRPORT BLVD, GUADALUPE ST,2011837,,,,AUSTIN FULL PURPOSE,2011840,NORTHEAST,,09/22/1970,"6,800","6,800",2021,APS,True,05/15/2024 12:00:00 AM,"2p, 6p","4p, 8p",,False,"1273, 1274, 5510",5817c079e052e0422be6c410,,,COA,OK,11/14/2023 06:00:00 AM +0000,,,06/28/2024 11:43:00 AM +0000,POINT (-97.716927 30.33396),Airport North,False,,,NO
51, MARTIN LUTHER KING JR BLVD / CHICON ST,TRAFFIC,TURNED_ON,LOC16-000250,5159809,PRIMARY,1, MARTIN LUTHER KING JR BLVD, CHICON ST,2017883,,,,AUSTIN FULL PURPOSE,2017882,CENTRAL,,05/02/1968,"1,900","1,900",2021,,False,,,,,False,"2021, 2066, 872, 911",5b5c434d97428f168b0e8664,,,COA,BROKEN,12/15/2023 06:00:00 AM +0000,,,07/02/2024 04:53:00 PM +0000,POINT (-97.721237 30.279806),Airport South,False,,,NO
83, BURNET RD / ROMERIA DR,TRAFFIC,TURNED_ON,LOC16-000410,5157209,PRIMARY,7, BURNET RD, ROMERIA DR,2011727,,,,AUSTIN FULL PURPOSE,2011719,NORTHWEST,,07/16/1953,"2,101","6,200",2021,,True,,,8p,Yes,False,4568,5817c07ce052e0422be6c49a,,,COA,OK,12/07/2022 06:00:00 AM +0000,,,06/04/2024 08:39:00 PM +0000,POINT (-97.739464 30.336927),Burnet,False,,,NO
80, BURNET RD / GREENLAWN PKWY,TRAFFIC,TURNED_ON,LOC16-000395,5157698,PRIMARY,7, BURNET RD, GREENLAWN PKWY,2011308,,,,AUSTIN FULL PURPOSE,2011307,NORTHWEST,,08/28/1968,"2,401","7,211",2022,,True,06/04/2024 12:00:00 AM,,8p,,False,"5745, 827",5817c07ce052e0422be6c494,,,COA,BROKEN,12/29/2023 06:00:00 AM +0000,,,06/28/2024 05:42:00 PM +0000,POINT (-97.735779 30.348255),Burnet,False,,,NO
203, 5TH ST / BAYLOR ST,TRAFFIC,TURNED_ON,LOC16-001005,5155073,PRIMARY,9, 5TH ST, BAYLOR ST,2021062,,,,AUSTIN FULL PURPOSE,2021063,CENTRAL,,04/06/1994,500,"1,100",2020,,False,,,,,False,2106,5817c082e052e0422be6c588,,,COA,OK,08/14/2023 05:00:00 AM +0000,,,04/19/2024 02:34:00 PM +0000,POINT (-97.756035 30.270855),Downtown West,False,,,NO
41, DEAN KEETON ST / GUADALUPE ST,TRAFFIC,TURNED_ON,LOC16-000200,5157120,SECONDARY,9, DEAN KEETON ST, GUADALUPE ST,2017247,,42:  GUADALUPE ST / 26TH ST,,AUSTIN FULL PURPOSE,2017249,CENTRAL,,01/13/1965,"2,520",300,2022,No Ped Buttons,False,,,,,False,"5864, 599",5817c07ae052e0422be6c446,,,COA,NO DETECTION,06/14/2017 05:00:00 AM +0000,,,02/06/2024 08:57:00 PM +0000,POINT (-97.741356 30.289814),Campus,False,,,NO
92, BURNET RD / OHLEN RD,TRAFFIC,TURNED_ON,LOC16-000455,5158652,PRIMARY,"4, 7", BURNET RD, OHLEN RD,2010771,,,77:  BURNET RD / STECK AVE,AUSTIN FULL PURPOSE,2010761,NORTHWEST,,05/21/1973,"2,301","8,300",2022,,False,,,,,False,"3120, 3159, 4570, 4574",5817c07de052e0422be6c4ac,,,COA,BROKEN,12/17/2023 06:00:00 AM +0000,,,03/11/2024 03:13:00 PM +0000,POINT (-97.729057 30.362911),Burnet,False,,,NO
87, BURNET RD / NORTH LOOP BLVD,TRAFFIC,TURNED_ON,LOC16-000430,5157233,PRIMARY,7, BURNET RD, NORTH LOOP BLVD,2012195,,,,AUSTIN FULL PURPOSE,2012196,NORTHWEST,,03/29/1956,"1,631","5,300",2021,APS,True,06/04/2024 12:00:00 AM,"2p, 6p","4p, 8p",,False,"684, 817",5817c07de052e0422be6c4a2,,,COA,OK,04/26/2024 05:00:00 AM +0000,,,06/28/2024 05:09:00 PM +0000,POINT (-97.739616 30.325851),Burnet,False,,,NO
68, RED RIVER ST / 38TH HALF ST,TRAFFIC,TURNED_ON,LOC16-000335,5159542,PRIMARY,9, RED RIVER ST, 38TH HALF ST,2016857,,,,AUSTIN FULL PURPOSE,2016824,NORTHWEST,,11/13/1957,800,"3,808",2021,APS,False,,,,,False,"1704, 1784, 6281, 6282",5b5c434d97428f168b0e8668,,,COA,OK,12/08/2022 06:00:00 AM +0000,,,07/23/2024 03:00:00 PM +0000,POINT (-97.723145 30.296543),Triangle,False,,,NO
