Treatment,Segment ID,Council District,Street Name,From Limit Street,To Limit Street,Segment Length,Segment Width,Lane Miles,Completion Date,PROJECT_ID,Resurfacing Description,Treatment Category,Most Recent Inspection Grade,Second Most Recent Inspection Grade,Third Most Recent Inspection Grade,Most Recent Inspection Year,Second Most Recent Inspection Year,Third Most Recent Inspection Year,Functional Class,Days Since Last Maintenance,Number of Maintenance Events,Average Time Between Maintenances,Street Combination,Maintenance Dates
SLURRY,2035181,5.0,HUNNICUT CT,2801,LINDSHIRE LN,219,29.0,0.12,10/3/2016 0:00,27629,,PM Thin Surface Treatment,F,F,F,2022.0,2019.0,2017.0,Residential,2863,1,,HUNNICUT CT|2801|LINDSHIRE LN,"['2016-10-03', '2015-06-01', '2014-04-06', '2013-03-04', '2012-03-02', '2011-02-20', '2009-10-21', '2008-10-17', '2007-07-07', '2006-05-10']"
SLURRY,2034122,2.0,ROCKING CHAIR RD,4600,TABLE TOP TRL,271,27.0,0.14,10/3/2016 0:00,27663,,PM Thin Surface Treatment,C,B,B,2022.0,2019.0,2017.0,Residential,2863,1,,ROCKING CHAIR RD|4600|TABLE TOP TRL,"['2016-10-03', '2015-09-18', '2014-11-04', '2013-11-28', '2013-06-24', '2012-07-09', '2011-08-06', '2010-05-13', '2008-12-14', '2008-04-27']"
SLURRY,2034105,2.0,TERN CIR,2300,SPRUCE LN,258,27.0,0.13,10/3/2016 0:00,27671,,PM Thin Surface Treatment,D,C,D,2022.0,2019.0,2017.0,Residential,2863,1,,TERN CIR|2300|SPRUCE LN,"['2016-10-03', '2016-01-23', '2015-01-10', '2014-05-08', '2013-05-05', '2012-04-24', '2011-03-31', '2010-03-30', '2009-01-29', '2008-04-20']"
SLURRY,2037940,3.0,COLLINS CREEK DR,PLEASANT VALLEY RD S,GEORGIA MEADOWS DR,1040,27.0,0.53,10/3/2016 0:00,27677,,PM Thin Surface Treatment,F,F,F,2021.0,2019.0,2017.0,Residential,2863,1,,COLLINS CREEK DR|GEORGIA MEADOWS DR|PLEASANT VALLEY RD S,"['2016-10-03', '2016-01-15', '2014-07-19', '2013-04-04', '2012-02-04', '2011-03-06', '2010-03-22', '2009-02-13', '2008-05-31', '2007-08-12']"
SLCT6,2032291,10.0,PALISADE CT,5600,PALISADE DR,383,27.0,0.2,10/3/2016 0:00,28452,,PM Thin Surface Treatment,C,C,C,2021.0,2018.0,2018.0,Residential,2863,1,,PALISADE CT|5600|PALISADE DR,"['2016-10-03', '2015-10-01', '2015-01-03', '2014-02-17', '2013-03-23', '2012-02-29', '2011-01-20', '2010-02-19', '2009-05-10', '2007-12-24']"
SLCT6,2013393,10.0,PALISADE DR,PRECIPICE CV,LEEWARD CT,193,27.0,0.1,10/3/2016 0:00,28453,,PM Thin Surface Treatment,B,C,C,2021.0,2018.0,2018.0,Residential,2863,1,,PALISADE DR|LEEWARD CT|PRECIPICE CV,"['2016-10-03', '2015-10-20', '2014-10-01', '2013-09-30', '2012-07-16', '2011-11-27', '2011-02-10', '2010-03-05', '2008-09-01', '2007-11-06']"
SLCT6,2013400,10.0,PALISADE DR,PALISADE CT,BUTTE BLVD,305,27.0,0.16,10/3/2016 0:00,28453,,PM Thin Surface Treatment,B,C,C,2021.0,2018.0,2018.0,Residential,2863,1,,PALISADE DR|BUTTE BLVD|PALISADE CT,"['2016-10-03', '2015-11-11', '2014-09-27', '2013-06-23', '2012-02-21', '2011-07-31', '2010-07-17', '2009-08-11', '2008-05-31', '2007-08-05']"
SLCT6,2013407,10.0,PALISADE DR,BUTTE BLVD,CRAGGY PT,405,27.0,0.21,10/3/2016 0:00,28453,,PM Thin Surface Treatment,B,C,C,2021.0,2018.0,2018.0,Residential,2863,1,,PALISADE DR|BUTTE BLVD|CRAGGY PT,"['2016-10-03', '2015-08-20', '2014-09-06', '2013-11-05', '2012-09-24', '2011-10-06', '2010-10-02', '2009-09-01', '2008-11-22', '2007-11-24']"
SLCT6,2013408,10.0,PALISADE DR,CRAGGY PT,PRECIPICE CV,323,27.0,0.16,10/3/2016 0:00,28453,,PM Thin Surface Treatment,B,C,C,2021.0,2018.0,2018.0,Residential,2863,1,,PALISADE DR|CRAGGY PT|PRECIPICE CV,"['2016-10-03', '2016-06-21', '2015-04-21', '2014-06-17', '2013-09-01', '2012-11-07', '2011-10-27', '2010-10-15', '2009-08-18', '2008-10-19']"
SLCT6,2032275,10.0,PALISADE DR,LEEWARD CT,4819,401,27.0,0.21,10/3/2016 0:00,28453,,PM Thin Surface Treatment,C,B,B,2021.0,2018.0,2018.0,Residential,2863,1,,PALISADE DR|4819|LEEWARD CT,"['2016-10-03', '2015-10-18', '2014-11-10', '2013-10-27', '2012-12-12', '2012-02-06', '2010-10-13', '2009-05-19', '2008-06-23', '2007-09-17']"
SLCT6,2032283,10.0,PALISADE DR,4601,PALISADE CT,384,27.0,0.19,10/3/2016 0:00,28453,,PM Thin Surface Treatment,C,C,C,2021.0,2018.0,2018.0,Residential,2863,1,,PALISADE DR|4601|PALISADE CT,"['2016-10-03', '2015-09-16', '2014-08-27', '2013-09-14', '2012-12-06', '2012-01-19', '2011-01-18', '2010-01-30', '2008-10-27', '2007-08-02']"
SLURRY,2033278,3.0,WALTON LN,BOLM RD,1132,1103,27.0,0.56,10/3/2016 0:00,27713,,PM Thin Surface Treatment,C,C,C,2021.0,2018.0,2018.0,Residential,2863,1,,WALTON LN|1132|BOLM RD,"['2016-10-03', '2015-09-22', '2014-07-29', '2013-05-05', '2012-03-06', '2011-01-16', '2010-04-07', '2009-02-11', '2008-03-24', '2007-04-10']"
SLURRY,2047938,3.0,STEVEN CREEK WAY,EMMITT RUN,EMMITT RUN,1432,28.0,0.46,10/3/2016 0:00,27715,,PM Thin Surface Treatment,B,B,B,2021.0,2018.0,2018.0,Residential,2863,1,,STEVEN CREEK WAY|EMMITT RUN|EMMITT RUN,"['2016-10-03', '2015-11-01', '2014-08-19', '2014-03-05', '2013-03-04', '2012-04-10', '2011-01-23', '2010-03-02', '2008-08-16', '2007-07-05']"
SLURRY,2033280,3.0,KOERNER LN,900,BOLM RD,559,27.0,0.29,10/3/2016 0:00,27717,,PM Thin Surface Treatment,B,A,A,2021.0,2018.0,2018.0,Residential,2863,1,,KOERNER LN|900|BOLM RD,"['2016-10-03', '2015-08-22', '2014-06-26', '2013-04-30', '2012-04-05', '2011-01-10', '2010-06-26', '2009-05-10', '2008-05-15', '2007-10-08']"
SLURRY,2034706,5.0,GARVEY CV,2901,JUBILEE TRL,148,29.0,0.08,10/3/2016 0:00,27627,,PM Thin Surface Treatment,F,C,C,2022.0,2019.0,2017.0,Residential,2863,1,,GARVEY CV|2901|JUBILEE TRL,"['2016-10-03', '2015-11-15', '2015-02-12', '2014-02-16', '2012-10-18', '2012-02-10', '2010-06-29', '2009-07-04', '2008-11-12', '2007-12-16']"
SLURRY,2031672,10.0,WILLOWICK DR,8600,HYRIDGE DR,633,27.0,0.32,10/4/2016 0:00,27773,,PM Thin Surface Treatment,D,D,D,2020.0,2018.0,2018.0,Residential,2862,1,,WILLOWICK DR|8600|HYRIDGE DR,"['2016-10-04', '2015-08-31', '2014-09-03', '2013-10-11', '2012-12-06', '2011-05-25', '2010-06-06', '2009-05-14', '2008-04-11', '2007-05-26']"
SLURRY,2027883,2.0,VIGEN CIR,SHANT ST,SHANT ST,1326,27.0,0.68,10/4/2016 0:00,27612,,PM Thin Surface Treatment,B,C,B,2022.0,2019.0,2017.0,Residential,2862,1,,VIGEN CIR|SHANT ST|SHANT ST,"['2016-10-04', '2015-09-02', '2014-09-06', '2013-07-29', '2012-02-24', '2011-02-08', '2010-04-03', '2009-03-04', '2007-10-26', '2006-10-27']"
SLURRY,2034444,8.0,DOS CABEZAS DR,VERMILLION DR,4329,412,27.0,0.21,10/4/2016 0:00,27637,,PM Thin Surface Treatment,B,C,C,2022.0,2019.0,2017.0,Residential,2862,1,,DOS CABEZAS DR|4329|VERMILLION DR,"['2016-10-04', '2015-09-13', '2014-09-15', '2013-09-02', '2012-09-24', '2011-12-16', '2010-08-13', '2009-11-16', '2008-11-13', '2007-10-07']"
SLURRY,2034451,8.0,PUSCH RIDGE LOOP,VERMILLION DR,7459,500,27.0,0.26,10/4/2016 0:00,27638,,PM Thin Surface Treatment,C,B,B,2022.0,2019.0,2017.0,Residential,2862,1,,PUSCH RIDGE LOOP|7459|VERMILLION DR,"['2016-10-04', '2016-02-05', '2015-03-15', '2014-05-11', '2013-01-07', '2012-02-29', '2011-04-17', '2010-06-22', '2009-08-12', '2008-08-10']"
SLURRY,2024684,8.0,PUSCH RIDGE LOOP,TRIBORO TRL,DOS CABEZAS DR,279,27.0,0.14,10/4/2016 0:00,27639,,PM Thin Surface Treatment,B,B,B,2022.0,2019.0,2017.0,Residential,2862,1,,PUSCH RIDGE LOOP|DOS CABEZAS DR|TRIBORO TRL,"['2016-10-04', '2015-12-13', '2014-12-17', '2014-03-01', '2013-02-07', '2012-02-20', '2011-06-06', '2010-11-18', '2009-10-05', '2008-10-15']"
SLURRY,2034474,8.0,KANDY DR,JAFFNA CV,4023,521,41.0,0.4,10/4/2016 0:00,27641,,PM Thin Surface Treatment,D,D,D,2022.0,2019.0,2017.0,Collector,2862,1,,KANDY DR|4023|JAFFNA CV,"['2016-10-04', '2016-02-23', '2015-06-22', '2014-09-02', '2013-03-22', '2011-12-22', '2011-02-12', '2010-01-22', '2009-03-11', '2008-03-10']"
SLURRY,2034426,8.0,DONEGAL RD,6901,ROBERT BURNS DR,187,27.0,0.1,10/4/2016 0:00,27644,,PM Thin Surface Treatment,D,B,B,2022.0,2019.0,2017.0,Residential,2862,1,,DONEGAL RD|6901|ROBERT BURNS DR,"['2016-10-04', '2016-01-07', '2015-02-02', '2014-03-16', '2013-04-07', '2012-02-11', '2010-09-12', '2009-09-07', '2008-07-23', '2007-07-31']"
SLURRY,2034422,8.0,EDINBURGH CV,6801,ROBERT BURNS DR,341,27.0,0.17,10/4/2016 0:00,27645,,PM Thin Surface Treatment,D,C,D,2022.0,2019.0,2017.0,Residential,2862,1,,EDINBURGH CV|6801|ROBERT BURNS DR,"['2016-10-04', '2015-10-26', '2014-11-15', '2013-06-21', '2012-07-21', '2011-10-24', '2011-05-04', '2010-10-31', '2009-08-16', '2008-06-03']"
SLURRY,2034511,5.0,BARGE ST,1901,MANCHACA RD,636,27.0,0.32,10/4/2016 0:00,27646,,PM Thin Surface Treatment,B,B,A,2022.0,2019.0,2017.0,Residential,2862,1,,BARGE ST|1901|MANCHACA RD,"['2016-10-04', '2015-03-12', '2014-02-08', '2013-02-01', '2012-01-27', '2011-04-04', '2010-04-19', '2009-03-14', '2008-05-30', '2007-08-09']"
SLURRY,2026501,5.0,CHERRY ORCHARD DR,CHERRY MEADOW DR,CHERRYDALE DR,305,27.0,0.16,10/4/2016 0:00,27650,,PM Thin Surface Treatment,C,B,B,2022.0,2019.0,2017.0,Residential,2862,1,,CHERRY ORCHARD DR|CHERRY MEADOW DR|CHERRYDALE DR,"['2016-10-04', '2015-09-14', '2014-06-30', '2013-08-08', '2012-04-22', '2011-11-19', '2011-03-09', '2009-12-25', '2009-02-14', '2007-12-15']"
SLURRY,2034594,2.0,PRINCE ARN DR,701,SIR GAWAIN DR,278,27.0,0.14,10/4/2016 0:00,27651,,PM Thin Surface Treatment,C,D,D,2022.0,2019.0,2017.0,Residential,2862,1,,PRINCE ARN DR|701|SIR GAWAIN DR,"['2016-10-04', '2016-02-21', '2015-03-15', '2014-02-24', '2013-05-03', '2012-04-18', '2011-07-24', '2010-12-03', '2009-12-01', '2008-12-27']"
SLURRY,2026130,2.0,BARNSDALE WAY,PRINCE VALIANT DR,ALETHA LN,427,27.0,0.22,10/4/2016 0:00,27652,,PM Thin Surface Treatment,B,C,C,2022.0,2019.0,2017.0,Residential,2862,1,,BARNSDALE WAY|ALETHA LN|PRINCE VALIANT DR,"['2016-10-04', '2015-09-21', '2014-07-01', '2013-08-08', '2012-11-10', '2011-12-29', '2011-02-12', '2010-03-23', '2009-03-28', '2008-03-10']"
SLURRY,2034473,5.0,BOXWOOD CT,CANNONWOOD LN,1909,173,27.0,0.09,10/4/2016 0:00,27653,,PM Thin Surface Treatment,C,C,C,2022.0,2019.0,2017.0,Residential,2862,1,,BOXWOOD CT|1909|CANNONWOOD LN,"['2016-10-04', '2015-08-14', '2014-12-18', '2013-11-21', '2012-08-09', '2011-09-16', '2010-12-15', '2010-03-31', '2009-11-07', '2009-01-25']"
SLURRY,2034128,2.0,PAR CV,TERI RD,5111,233,27.0,0.12,10/4/2016 0:00,27662,,PM Thin Surface Treatment,C,D,D,2022.0,2019.0,2017.0,Residential,2862,1,,PAR CV|5111|TERI RD,"['2016-10-04', '2015-05-12', '2014-09-07', '2013-07-03', '2012-11-06', '2011-10-21', '2010-09-29', '2009-09-26', '2008-10-29', '2008-01-06']"
SLURRY,2035206,2.0,SWANSON CV,SWANSON LN,615,152,27.0,0.08,10/4/2016 0:00,27607,,PM Thin Surface Treatment,D,D,D,2022.0,2019.0,2017.0,Residential,2862,1,,SWANSON CV|615|SWANSON LN,"['2016-10-04', '2016-01-06', '2014-07-17', '2013-03-27', '2012-03-08', '2011-02-06', '2010-06-28', '2009-10-07', '2009-02-17', '2007-12-03']"
SLURRY,2042135,2.0,NATALI ST,SWANSON LN,615,241,27.0,0.12,10/4/2016 0:00,27608,,PM Thin Surface Treatment,D,B,B,2022.0,2019.0,2017.0,Residential,2862,1,,NATALI ST|615|SWANSON LN,"['2016-10-04', '2016-02-15', '2015-02-18', '2013-09-24', '2012-08-17', '2011-08-28', '2010-03-17', '2009-03-19', '2008-08-15', '2007-07-22']"
SLURRY,2035046,8.0,BEACHAM CT,10901,RICKERHILL LN,153,25.0,0.07,10/4/2016 0:00,27314,,PM Thin Surface Treatment,C,C,C,2022.0,2019.0,2017.0,Residential,2862,1,,BEACHAM CT|10901|RICKERHILL LN,"['2016-10-04', '2015-06-26', '2014-10-05', '2013-09-28', '2013-02-12', '2012-04-14', '2011-09-26', '2010-11-04', '2009-09-21', '2008-06-01']"
SLURRY,2034791,5.0,BISSEL CIR,BISSEL LN,6809,173,27.0,0.09,10/4/2016 0:00,27648,,PM Thin Surface Treatment,F,F,F,2022.0,2019.0,2017.0,Residential,2862,1,,BISSEL CIR|6809|BISSEL LN,"['2016-10-04', '2015-10-01', '2014-11-16', '2013-12-14', '2013-04-06', '2012-06-13', '2011-08-07', '2010-10-01', '2009-07-08', '2008-08-19']"
SLURRY,2034789,5.0,CHERRY MEADOW CIR,CHERRY MEADOW DR,1707,134,27.0,0.07,10/4/2016 0:00,27649,,PM Thin Surface Treatment,F,F,F,2022.0,2019.0,2017.0,Residential,2862,1,,CHERRY MEADOW CIR|1707|CHERRY MEADOW DR,"['2016-10-04', '2015-12-19', '2014-12-26', '2014-03-25', '2013-03-26', '2011-08-16', '2010-11-07', '2010-03-05', '2009-01-16', '2008-02-03']"
PMOL,2020280,10.0,RALEIGH AVE,CHERRY LN,CLEARVIEW DR,322,27.0,0.16,10/4/2016 0:00,26752,,PM Overlay,B,C,C,2021.0,2018.0,2018.0,Residential,2862,1,,RALEIGH AVE|CHERRY LN|CLEARVIEW DR,"['2016-10-04', '2015-05-04', '2013-12-10', '2012-10-19', '2011-03-06', '2010-04-14', '2008-12-22', '2008-02-07', '2007-04-07', '2006-06-18']"
PMOL,2020287,10.0,RALEIGH AVE,CHERRY LN,CHERRY LN,186,27.0,0.09,10/4/2016 0:00,26752,,PM Overlay,F,C,C,2021.0,2018.0,2018.0,Residential,2862,1,,RALEIGH AVE|CHERRY LN|CHERRY LN,"['2016-10-04', '2015-11-05', '2014-11-04', '2013-11-23', '2012-10-24', '2011-11-13', '2011-01-06', '2009-12-14', '2009-02-19', '2008-03-04']"
PMOL,2016370,10.0,33RD ST W,CHURCHILL DR,KERBEY LN,274,27.0,0.14,10/4/2016 0:00,21246,,PM Overlay,C,D,D,2021.0,2018.0,2018.0,Residential,2862,1,,33RD ST W|CHURCHILL DR|KERBEY LN,"['2016-10-04', '2015-11-17', '2014-11-22', '2013-07-11', '2012-06-12', '2011-02-12', '2010-02-01', '2008-12-26', '2007-09-24', '2006-03-01']"
PMOL,2016456,10.0,CHURCHILL DR,32ND ST W,33RD ST W,491,27.0,0.25,10/4/2016 0:00,21544,,PM Overlay,C,C,C,2021.0,2018.0,2018.0,Residential,2862,1,,CHURCHILL DR|32ND ST W|33RD ST W,"['2016-10-04', '2015-06-27', '2014-06-30', '2013-06-05', '2012-06-10', '2011-04-10', '2010-07-01', '2009-08-03', '2008-10-09', '2007-10-24']"
SLURRY,2035210,2.0,SWANSON LN,SHANT ST,9161,669,33.0,0.42,10/5/2016 0:00,27606,,PM Thin Surface Treatment,C,B,B,2022.0,2019.0,2017.0,Residential,2861,1,,SWANSON LN|9161|SHANT ST,"['2016-10-05', '2015-05-27', '2013-12-25', '2012-08-29', '2011-04-05', '2010-05-16', '2009-06-20', '2008-04-10', '2007-01-27', '2005-12-12']"
SLURRY,2035194,2.0,SHEP ST,SWANSON LN,619,154,27.0,0.08,10/5/2016 0:00,27609,,PM Thin Surface Treatment,F,B,B,2022.0,2019.0,2017.0,Residential,2861,2,0.0,SHEP ST|619|SWANSON LN,"['2016-10-05', '2015-08-14', '2014-05-29', '2013-04-13', '2012-04-14', '2011-06-15', '2010-07-27', '2008-12-13', '2008-05-03']"
SLURRY,2035196,2.0,TALINE CIR,8701,SHEP ST,168,27.0,0.09,10/5/2016 0:00,27610,,PM Thin Surface Treatment,D,C,C,2022.0,2019.0,2017.0,Residential,2861,1,,TALINE CIR|8701|SHEP ST,"['2016-10-05', '2015-07-05', '2014-08-26', '2013-04-01', '2012-02-05', '2011-05-12', '2010-02-22', '2008-12-11', '2007-09-14', '2006-04-16']"
SLURRY,2027838,2.0,TALINE CIR,NATALI ST,NATALI ST,1112,27.0,0.57,10/5/2016 0:00,27611,,PM Thin Surface Treatment,C,B,B,2022.0,2019.0,2017.0,Residential,2861,1,,TALINE CIR|NATALI ST|NATALI ST,"['2016-10-05', '2015-10-15', '2014-12-19', '2014-06-06', '2013-11-29', '2012-12-21', '2011-10-05', '2010-12-16', '2010-03-04', '2008-12-17']"
SLURRY,2034166,2.0,PALO BLANCO CT,5601,PALO BLANCO LN,396,27.0,0.2,10/5/2016 0:00,27656,,PM Thin Surface Treatment,D,C,C,2022.0,2019.0,2017.0,Residential,2861,1,,PALO BLANCO CT|5601|PALO BLANCO LN,"['2016-10-05', '2015-12-23', '2015-04-09', '2013-12-03', '2012-08-21', '2011-06-09', '2010-09-15', '2009-07-25', '2008-05-24', '2007-05-09']"
SLURRY,2034151,2.0,DOVE CREEK CV,LARK CREEK DR,4909,183,27.0,0.09,10/5/2016 0:00,27658,,PM Thin Surface Treatment,F,F,F,2022.0,2019.0,2017.0,Residential,2861,1,,DOVE CREEK CV|4909|LARK CREEK DR,"['2016-10-05', '2015-08-17', '2015-01-22', '2014-05-23', '2013-04-19', '2012-04-14', '2011-04-16', '2010-06-08', '2009-07-18', '2008-08-12']"
SLURRY,2034125,2.0,COFFEE CUP CV,ROCKING CHAIR RD,5011,218,27.0,0.11,10/5/2016 0:00,27664,,PM Thin Surface Treatment,C,C,C,2022.0,2019.0,2017.0,Residential,2861,1,,COFFEE CUP CV|5011|ROCKING CHAIR RD,"['2016-10-05', '2015-10-13', '2014-11-02', '2013-08-18', '2012-09-17', '2011-03-27', '2010-05-17', '2009-06-23', '2008-07-09', '2007-04-02']"
SLURRY,2034109,2.0,ERIC CIR,4500,PLEASANT VALLEY RD S,160,27.0,0.08,10/5/2016 0:00,27665,,PM Thin Surface Treatment,D,D,D,2022.0,2019.0,2017.0,Residential,2861,1,,ERIC CIR|4500|PLEASANT VALLEY RD S,"['2016-10-05', '2015-08-15', '2014-10-28', '2014-05-26', '2013-04-06', '2012-03-14', '2011-08-05', '2010-04-25', '2009-07-28', '2008-06-30']"
SLURRY,2034121,2.0,JOSHUA CT,5001,TERI RD,313,27.0,0.16,10/5/2016 0:00,27666,,PM Thin Surface Treatment,C,C,C,2022.0,2019.0,2017.0,Residential,2861,1,,JOSHUA CT|5001|TERI RD,"['2016-10-05', '2015-04-25', '2014-03-28', '2013-06-03', '2012-06-12', '2011-04-15', '2010-03-22', '2008-11-25', '2008-04-09', '2007-03-03']"
SLURRY,2034119,2.0,ALLYSON CT,5001,TERI RD,320,27.0,0.16,10/5/2016 0:00,27667,,PM Thin Surface Treatment,C,C,C,2022.0,2019.0,2017.0,Residential,2861,1,,ALLYSON CT|5001|TERI RD,"['2016-10-05', '2015-09-07', '2014-10-24', '2013-10-09', '2012-11-18', '2011-10-28', '2011-01-22', '2010-06-18', '2009-04-13', '2007-12-08']"
SLURRY,2034117,2.0,MICHELLE CT,5001,TERI RD,326,27.0,0.17,10/5/2016 0:00,27668,,PM Thin Surface Treatment,C,B,C,2022.0,2019.0,2017.0,Residential,2861,1,,MICHELLE CT|5001|TERI RD,"['2016-10-05', '2015-12-21', '2014-12-08', '2014-02-01', '2012-10-31', '2011-08-30', '2010-06-26', '2009-08-25', '2008-07-12', '2007-07-15']"
SLURRY,2034103,2.0,BUTTON BEND CIR,4400,PLEASANT VALLEY RD S,280,27.0,0.11,10/5/2016 0:00,27669,,PM Thin Surface Treatment,C,C,C,2022.0,2019.0,2017.0,Residential,2861,1,,BUTTON BEND CIR|4400|PLEASANT VALLEY RD S,"['2016-10-05', '2015-10-14', '2014-07-21', '2013-06-18', '2012-08-08', '2011-09-11', '2011-03-13', '2010-05-25', '2009-04-30', '2008-04-04']"
SLURRY,2034107,2.0,SPRUCE CV,TERI RD,5110,200,27.0,0.1,10/5/2016 0:00,27670,,PM Thin Surface Treatment,F,D,C,2022.0,2019.0,2017.0,Residential,2861,1,,SPRUCE CV|5110|TERI RD,"['2016-10-05', '2015-10-16', '2014-12-11', '2014-01-18', '2013-01-16', '2012-05-28', '2011-09-27', '2010-06-12', '2009-10-05', '2008-06-22']"
SLURRY,2041863,2.0,DONAHUE LN,PEPPER LN,TERI RD,1176,27.0,0.61,10/5/2016 0:00,27672,,PM Thin Surface Treatment,B,C,B,2022.0,2019.0,2017.0,Residential,2861,1,,DONAHUE LN|PEPPER LN|TERI RD,"['2016-10-05', '2016-01-22', '2014-11-27', '2013-11-19', '2013-04-23', '2012-12-23', '2012-05-17', '2011-06-24', '2010-04-25', '2009-03-01']"
SLURRY,2034101,2.0,MERRITT DR,4901,TERI RD,224,27.0,0.12,10/5/2016 0:00,27673,,PM Thin Surface Treatment,C,A,A,2022.0,2019.0,2017.0,Residential,2861,1,,MERRITT DR|4901|TERI RD,"['2016-10-05', '2015-09-28', '2014-12-22', '2013-11-21', '2012-11-16', '2011-10-24', '2010-10-18', '2009-10-14', '2008-07-01', '2008-03-26']"
